선거구코드,시구군코드,시구군,시도,기호,정당,후보명,1위,17년 유권자평균연령,유권자평균교육연수,17년제곱미터당가격,평균 보험료,후보별 득표율,후보별 득표수
1110,11320,서울 도봉구,서울,1,더불어민주당,문재인,문재인,48.0 ,12.86759579,397.6190408,88885,41.55,94898
1110,11320,서울 도봉구,서울,2,새누리당,홍준표,문재인,48.0 ,12.86759579,397.6190408,88885,20.78,47461
1110,11320,서울 도봉구,서울,3,국민의당,안철수,문재인,48.0 ,12.86759579,397.6190408,88885,24.34,55600
1110,11320,서울 도봉구,서울,4,바른정당,유승민,문재인,48.0 ,12.86759579,397.6190408,88885,6.34,14500
1110,11320,서울 도봉구,서울,5,정의당,심상정,문재인,48.0 ,12.86759579,397.6190408,88885,6.53,14923
1111,11350,서울 노원구,서울,1,더불어민주당,문재인,문재인,46.9 ,13.28862769,495.1321867,97475,42.41,158167
1111,11350,서울 노원구,서울,2,새누리당,홍준표,문재인,46.9 ,13.28862769,495.1321867,97475,18.12,67590
1111,11350,서울 노원구,서울,3,국민의당,안철수,문재인,46.9 ,13.28862769,495.1321867,97475,25.83,96325
1111,11350,서울 노원구,서울,4,바른정당,유승민,문재인,46.9 ,13.28862769,495.1321867,97475,6.66,24846
1111,11350,서울 노원구,서울,5,정의당,심상정,문재인,46.9 ,13.28862769,495.1321867,97475,6.56,24498
1112,11380,서울 은평구,서울,1,더불어민주당,문재인,문재인,47.6 ,12.97734447,434.1500512,88324,44.34,140180
1112,11380,서울 은평구,서울,2,새누리당,홍준표,문재인,47.6 ,12.97734447,434.1500512,88324,19.01,60109
1112,11380,서울 은평구,서울,3,국민의당,안철수,문재인,47.6 ,12.97734447,434.1500512,88324,22.96,72582
1112,11380,서울 은평구,서울,4,바른정당,유승민,문재인,47.6 ,12.97734447,434.1500512,88324,6.15,19447
1112,11380,서울 은평구,서울,5,정의당,심상정,문재인,47.6 ,12.97734447,434.1500512,88324,6.94,21955
1113,11410,서울 서대문구,서울,1,더불어민주당,문재인,문재인,47.3 ,13.39294778,521.3040252,97941,44.36,93768
1113,11410,서울 서대문구,서울,2,새누리당,홍준표,문재인,47.3 ,13.39294778,521.3040252,97941,19.16,40513
1113,11410,서울 서대문구,서울,3,국민의당,안철수,문재인,47.3 ,13.39294778,521.3040252,97941,21.87,46237
1113,11410,서울 서대문구,서울,4,바른정당,유승민,문재인,47.3 ,13.39294778,521.3040252,97941,7,14798
1113,11410,서울 서대문구,서울,5,정의당,심상정,문재인,47.3 ,13.39294778,521.3040252,97941,7.17,15165
1114,11440,서울 마포구,서울,1,더불어민주당,문재인,문재인,45.7 ,13.79653081,699.0487353,107797,45.79,117336
1114,11440,서울 마포구,서울,2,새누리당,홍준표,문재인,45.7 ,13.79653081,699.0487353,107797,18.16,46547
1114,11440,서울 마포구,서울,3,국민의당,안철수,문재인,45.7 ,13.79653081,699.0487353,107797,20.5,52545
1114,11440,서울 마포구,서울,4,바른정당,유승민,문재인,45.7 ,13.79653081,699.0487353,107797,7.43,19059
1114,11440,서울 마포구,서울,5,정의당,심상정,문재인,45.7 ,13.79653081,699.0487353,107797,7.72,19795
1115,11470,서울 양천구,서울,1,더불어민주당,문재인,문재인,46.4 ,13.59030671,492.5685391,113070,43.18,133853
1115,11470,서울 양천구,서울,2,새누리당,홍준표,문재인,46.4 ,13.59030671,492.5685391,113070,19.62,60814
1115,11470,서울 양천구,서울,3,국민의당,안철수,문재인,46.4 ,13.59030671,492.5685391,113070,23.17,71816
1115,11470,서울 양천구,서울,4,바른정당,유승민,문재인,46.4 ,13.59030671,492.5685391,113070,7.41,22987
1115,11470,서울 양천구,서울,5,정의당,심상정,문재인,46.4 ,13.59030671,492.5685391,113070,6.22,19309
1116,11500,서울 강서구,서울,1,더불어민주당,문재인,문재인,46.1 ,13.26567381,482.39627,93496,44.43,175882
1116,11500,서울 강서구,서울,2,새누리당,홍준표,문재인,46.1 ,13.26567381,482.39627,93496,19.35,76601
1116,11500,서울 강서구,서울,3,국민의당,안철수,문재인,46.1 ,13.26567381,482.39627,93496,22.26,88128
1116,11500,서울 강서구,서울,4,바른정당,유승민,문재인,46.1 ,13.26567381,482.39627,93496,6.95,27544
1116,11500,서울 강서구,서울,5,정의당,심상정,문재인,46.1 ,13.26567381,482.39627,93496,6.56,26001
1117,11530,서울 구로구,서울,1,더불어민주당,문재인,문재인,46.9 ,13.04619409,475.010136,91399,43.59,121077
1117,11530,서울 구로구,서울,2,새누리당,홍준표,문재인,46.9 ,13.04619409,475.010136,91399,21.31,59194
1117,11530,서울 구로구,서울,3,국민의당,안철수,문재인,46.9 ,13.04619409,475.010136,91399,22.22,61734
1117,11530,서울 구로구,서울,4,바른정당,유승민,문재인,46.9 ,13.04619409,475.010136,91399,6.17,17147
1117,11530,서울 구로구,서울,5,정의당,심상정,문재인,46.9 ,13.04619409,475.010136,91399,6.27,17437
1118,11545,서울 금천구,서울,1,더불어민주당,문재인,문재인,47.1 ,12.38966516,451.3931726,78292,43.65,67423
1118,11545,서울 금천구,서울,2,새누리당,홍준표,문재인,47.1 ,12.38966516,451.3931726,78292,20.13,31106
1118,11545,서울 금천구,서울,3,국민의당,안철수,문재인,47.1 ,12.38966516,451.3931726,78292,23.75,36695
1118,11545,서울 금천구,서울,4,바른정당,유승민,문재인,47.1 ,12.38966516,451.3931726,78292,5.72,8835
1118,11545,서울 금천구,서울,5,정의당,심상정,문재인,47.1 ,12.38966516,451.3931726,78292,6.27,9698
1119,11560,서울 영등포구,서울,1,더불어민주당,문재인,문재인,46.7 ,13.57102205,632.1597543,104231,42.67,105834
1119,11560,서울 영등포구,서울,2,새누리당,홍준표,문재인,46.7 ,13.57102205,632.1597543,104231,21.61,53615
1119,11560,서울 영등포구,서울,3,국민의당,안철수,문재인,46.7 ,13.57102205,632.1597543,104231,21.77,53994
1119,11560,서울 영등포구,서울,4,바른정당,유승민,문재인,46.7 ,13.57102205,632.1597543,104231,7.3,18122
1119,11560,서울 영등포구,서울,5,정의당,심상정,문재인,46.7 ,13.57102205,632.1597543,104231,6.22,15439
1120,11590,서울 동작구,서울,1,더불어민주당,문재인,문재인,46.3 ,13.8237058,643.5088116,102073,44.12,121722
1120,11590,서울 동작구,서울,2,새누리당,홍준표,문재인,46.3 ,13.8237058,643.5088116,102073,19.73,54431
1120,11590,서울 동작구,서울,3,국민의당,안철수,문재인,46.3 ,13.8237058,643.5088116,102073,21.86,60305
1120,11590,서울 동작구,서울,4,바른정당,유승민,문재인,46.3 ,13.8237058,643.5088116,102073,7.46,20593
1120,11590,서울 동작구,서울,5,정의당,심상정,문재인,46.3 ,13.8237058,643.5088116,102073,6.44,17781
1121,11620,서울 관악구,서울,1,더불어민주당,문재인,문재인,44.9 ,13.40393769,564.3300345,82902,45.67,159854
1121,11620,서울 관악구,서울,2,새누리당,홍준표,문재인,44.9 ,13.40393769,564.3300345,82902,17.11,59914
1121,11620,서울 관악구,서울,3,국민의당,안철수,문재인,44.9 ,13.40393769,564.3300345,82902,22.71,79495
1121,11620,서울 관악구,서울,4,바른정당,유승민,문재인,44.9 ,13.40393769,564.3300345,82902,6.81,23857
1121,11620,서울 관악구,서울,5,정의당,심상정,문재인,44.9 ,13.40393769,564.3300345,82902,7.22,25300
1122,11650,서울 서초구,서울,1,더불어민주당,문재인,문재인,46.0 ,15.29020393,1012.170987,162900,36.43,106416
1122,11650,서울 서초구,서울,2,새누리당,홍준표,문재인,46.0 ,15.29020393,1012.170987,162900,25.63,74891
1122,11650,서울 서초구,서울,3,국민의당,안철수,문재인,46.0 ,15.29020393,1012.170987,162900,21.9,63977
1122,11650,서울 서초구,서울,4,바른정당,유승민,문재인,46.0 ,15.29020393,1012.170987,162900,10,29231
1122,11650,서울 서초구,서울,5,정의당,심상정,문재인,46.0 ,15.29020393,1012.170987,162900,5.67,16562
1123,11680,서울 강남구,서울,1,더불어민주당,문재인,문재인,45.5 ,15.07898466,1267.154312,160422,35.36,128927
1123,11680,서울 강남구,서울,2,새누리당,홍준표,문재인,45.5 ,15.07898466,1267.154312,160422,26.78,97639
1123,11680,서울 강남구,서울,3,국민의당,안철수,문재인,45.5 ,15.07898466,1267.154312,160422,21.99,80201
1123,11680,서울 강남구,서울,4,바른정당,유승민,문재인,45.5 ,15.07898466,1267.154312,160422,9.92,36176
1123,11680,서울 강남구,서울,5,정의당,심상정,문재인,45.5 ,15.07898466,1267.154312,160422,5.56,20287
1124,11710,서울 송파구,서울,1,더불어민주당,문재인,문재인,45.7 ,14.20157257,820.8590215,123536,40.3,177328
1124,11710,서울 송파구,서울,2,새누리당,홍준표,문재인,45.7 ,14.20157257,820.8590215,123536,22.4,98549
1124,11710,서울 송파구,서울,3,국민의당,안철수,문재인,45.7 ,14.20157257,820.8590215,123536,22.5,99018
1124,11710,서울 송파구,서울,4,바른정당,유승민,문재인,45.7 ,14.20157257,820.8590215,123536,8.51,37438
1124,11710,서울 송파구,서울,5,정의당,심상정,문재인,45.7 ,14.20157257,820.8590215,123536,5.92,26064
1125,11740,서울 강동구,서울,1,더불어민주당,문재인,문재인,46.7 ,13.33667783,673.3999489,98623,41.31,122511
1125,11740,서울 강동구,서울,2,새누리당,홍준표,문재인,46.7 ,13.33667783,673.3999489,98623,22.22,65893
1125,11740,서울 강동구,서울,3,국민의당,안철수,문재인,46.7 ,13.33667783,673.3999489,98623,22.76,67499
1125,11740,서울 강동구,서울,4,바른정당,유승민,문재인,46.7 ,13.33667783,673.3999489,98623,7.24,21483
1125,11740,서울 강동구,서울,5,정의당,심상정,문재인,46.7 ,13.33667783,673.3999489,98623,6.05,17965
2601,26110,부산 중구,부산,1,더불어민주당,문재인,홍준표,51.2 ,12.01701392,229.2524934,71048,34.78,9918
2601,26110,부산 중구,부산,2,새누리당,홍준표,홍준표,51.2 ,12.01701392,229.2524934,71048,37.47,10684
2601,26110,부산 중구,부산,3,국민의당,안철수,홍준표,51.2 ,12.01701392,229.2524934,71048,16.39,4675
2601,26110,부산 중구,부산,4,바른정당,유승민,홍준표,51.2 ,12.01701392,229.2524934,71048,6.47,1845
2601,26110,부산 중구,부산,5,정의당,심상정,홍준표,51.2 ,12.01701392,229.2524934,71048,4.46,1274
2602,26140,부산 서구,부산,1,더불어민주당,문재인,홍준표,51.1 ,11.80212479,303.7520309,78519,34.46,24522
2602,26140,부산 서구,부산,2,새누리당,홍준표,홍준표,51.1 ,11.80212479,303.7520309,78519,37.04,26360
2602,26140,부산 서구,부산,3,국민의당,안철수,홍준표,51.1 ,11.80212479,303.7520309,78519,16.68,11868
2602,26140,부산 서구,부산,4,바른정당,유승민,홍준표,51.1 ,11.80212479,303.7520309,78519,6.9,4913
2602,26140,부산 서구,부산,5,정의당,심상정,홍준표,51.1 ,11.80212479,303.7520309,78519,4.4,3131
2603,26170,부산 동구,부산,1,더불어민주당,문재인,홍준표,51.8 ,11.42928474,279.431414,71920,33.75,19606
2603,26170,부산 동구,부산,2,새누리당,홍준표,홍준표,51.8 ,11.42928474,279.431414,71920,38.2,22188
2603,26170,부산 동구,부산,3,국민의당,안철수,홍준표,51.8 ,11.42928474,279.431414,71920,16.89,9815
2603,26170,부산 동구,부산,4,바른정당,유승민,홍준표,51.8 ,11.42928474,279.431414,71920,6.2,3606
2603,26170,부산 동구,부산,5,정의당,심상정,홍준표,51.8 ,11.42928474,279.431414,71920,4.45,2589
2604,26200,부산 영도구,부산,1,더불어민주당,문재인,문재인,51.7 ,11.63864712,235.2217666,76260,38.75,30094
2604,26200,부산 영도구,부산,2,새누리당,홍준표,문재인,51.7 ,11.63864712,235.2217666,76260,32.63,25345
2604,26200,부산 영도구,부산,3,국민의당,안철수,문재인,51.7 ,11.63864712,235.2217666,76260,16.84,13082
2604,26200,부산 영도구,부산,4,바른정당,유승민,문재인,51.7 ,11.63864712,235.2217666,76260,6.92,5375
2604,26200,부산 영도구,부산,5,정의당,심상정,문재인,51.7 ,11.63864712,235.2217666,76260,4.39,3416
2605,26230,부산 부산진구,부산,1,더불어민주당,문재인,문재인,48.4 ,12.41289745,347.2515166,85261,38.76,95042
2605,26230,부산 부산진구,부산,2,새누리당,홍준표,문재인,48.4 ,12.41289745,347.2515166,85261,32.44,79545
2605,26230,부산 부산진구,부산,3,국민의당,안철수,문재인,48.4 ,12.41289745,347.2515166,85261,16.57,40636
2605,26230,부산 부산진구,부산,4,바른정당,유승민,문재인,48.4 ,12.41289745,347.2515166,85261,6.87,16855
2605,26230,부산 부산진구,부산,5,정의당,심상정,문재인,48.4 ,12.41289745,347.2515166,85261,4.91,12045
2606,26260,부산 동래구,부산,1,더불어민주당,문재인,문재인,48.4 ,12.86948793,352.8004515,94732,37.65,67947
2606,26260,부산 동래구,부산,2,새누리당,홍준표,문재인,48.4 ,12.86948793,352.8004515,94732,33.03,59616
2606,26260,부산 동래구,부산,3,국민의당,안철수,문재인,48.4 ,12.86948793,352.8004515,94732,16.73,30208
2606,26260,부산 동래구,부산,4,바른정당,유승민,문재인,48.4 ,12.86948793,352.8004515,94732,7.32,13211
2606,26260,부산 동래구,부산,5,정의당,심상정,문재인,48.4 ,12.86948793,352.8004515,94732,4.88,8812
2607,26290,부산 남구,부산,1,더불어민주당,문재인,문재인,48.9 ,12.66598012,314.2414043,93468,37.83,68566
2607,26290,부산 남구,부산,2,새누리당,홍준표,문재인,48.9 ,12.66598012,314.2414043,93468,32.63,59137
2607,26290,부산 남구,부산,3,국민의당,안철수,문재인,48.9 ,12.66598012,314.2414043,93468,17.07,30943
2607,26290,부산 남구,부산,4,바른정당,유승민,문재인,48.9 ,12.66598012,314.2414043,93468,7.19,13029
2607,26290,부산 남구,부산,5,정의당,심상정,문재인,48.9 ,12.66598012,314.2414043,93468,4.84,8780
2608,26320,부산 북구,부산,1,더불어민주당,문재인,문재인,47.3 ,12.47253958,285.15591,90676,41.22,83611
2608,26320,부산 북구,부산,2,새누리당,홍준표,문재인,47.3 ,12.47253958,285.15591,90676,30.16,61175
2608,26320,부산 북구,부산,3,국민의당,안철수,문재인,47.3 ,12.47253958,285.15591,90676,16.13,32712
2608,26320,부산 북구,부산,4,바른정당,유승민,문재인,47.3 ,12.47253958,285.15591,90676,7.18,14567
2608,26320,부산 북구,부산,5,정의당,심상정,문재인,47.3 ,12.47253958,285.15591,90676,4.86,9862
2609,26350,부산 해운대구,부산,1,더불어민주당,문재인,문재인,48.0 ,13.2315346,385.5967686,110815,38.39,102106
2609,26350,부산 해운대구,부산,2,새누리당,홍준표,문재인,48.0 ,13.2315346,385.5967686,110815,30.42,80904
2609,26350,부산 해운대구,부산,3,국민의당,안철수,문재인,48.0 ,13.2315346,385.5967686,110815,18.17,48325
2609,26350,부산 해운대구,부산,4,바른정당,유승민,문재인,48.0 ,13.2315346,385.5967686,110815,7.86,20918
2609,26350,부산 해운대구,부산,5,정의당,심상정,문재인,48.0 ,13.2315346,385.5967686,110815,4.72,12573
2610,26710,부산 기장군,부산,1,더불어민주당,문재인,문재인,47.7 ,12.49677661,290.025409,79278,41.9,39412
2610,26710,부산 기장군,부산,2,새누리당,홍준표,문재인,47.7 ,12.49677661,290.025409,79278,28.23,26556
2610,26710,부산 기장군,부산,3,국민의당,안철수,문재인,47.7 ,12.49677661,290.025409,79278,16.91,15909
2610,26710,부산 기장군,부산,4,바른정당,유승민,문재인,47.7 ,12.49677661,290.025409,79278,7.2,6775
2610,26710,부산 기장군,부산,5,정의당,심상정,문재인,47.7 ,12.49677661,290.025409,79278,5.3,4988
2611,26380,부산 사하구,부산,1,더불어민주당,문재인,문재인,48.1 ,12.33719501,256.6675099,83768,39.09,82452
2611,26380,부산 사하구,부산,2,새누리당,홍준표,문재인,48.1 ,12.33719501,256.6675099,83768,30.93,65252
2611,26380,부산 사하구,부산,3,국민의당,안철수,문재인,48.1 ,12.33719501,256.6675099,83768,17.4,36713
2611,26380,부산 사하구,부산,4,바른정당,유승민,문재인,48.1 ,12.33719501,256.6675099,83768,7.09,14958
2611,26380,부산 사하구,부산,5,정의당,심상정,문재인,48.1 ,12.33719501,256.6675099,83768,5.05,10664
2612,26410,부산 금정구,부산,1,더불어민주당,문재인,문재인,48.7 ,12.92581784,342.0264926,94635,36.82,60169
2612,26410,부산 금정구,부산,2,새누리당,홍준표,문재인,48.7 ,12.92581784,342.0264926,94635,33.3,54418
2612,26410,부산 금정구,부산,3,국민의당,안철수,문재인,48.7 ,12.92581784,342.0264926,94635,16.36,26729
2612,26410,부산 금정구,부산,4,바른정당,유승민,문재인,48.7 ,12.92581784,342.0264926,94635,8.04,13143
2612,26410,부산 금정구,부산,5,정의당,심상정,문재인,48.7 ,12.92581784,342.0264926,94635,5.01,8188
2613,26440,부산 강서구,부산,1,더불어민주당,문재인,문재인,46.4 ,12.64116949,360.3632782,100635,44.99,30783
2613,26440,부산 강서구,부산,2,새누리당,홍준표,문재인,46.4 ,12.64116949,360.3632782,100635,27.34,18711
2613,26440,부산 강서구,부산,3,국민의당,안철수,문재인,46.4 ,12.64116949,360.3632782,100635,15.53,10629
2613,26440,부산 강서구,부산,4,바른정당,유승민,문재인,46.4 ,12.64116949,360.3632782,100635,7.12,4875
2613,26440,부산 강서구,부산,5,정의당,심상정,문재인,46.4 ,12.64116949,360.3632782,100635,4.6,3154
2614,26470,부산 연제구,부산,1,더불어민주당,문재인,문재인,48.5 ,12.79144515,346.4080989,93586,38.25,52454
2614,26470,부산 연제구,부산,2,새누리당,홍준표,문재인,48.5 ,12.79144515,346.4080989,93586,32.25,44221
2614,26470,부산 연제구,부산,3,국민의당,안철수,문재인,48.5 ,12.79144515,346.4080989,93586,17,23321
2614,26470,부산 연제구,부산,4,바른정당,유승민,문재인,48.5 ,12.79144515,346.4080989,93586,7.22,9900
2614,26470,부산 연제구,부산,5,정의당,심상정,문재인,48.5 ,12.79144515,346.4080989,93586,4.91,6745
2615,26500,부산 수영구,부산,1,더불어민주당,문재인,문재인,49.0 ,13.05628061,421.5541619,92866,36.82,43702
2615,26500,부산 수영구,부산,2,새누리당,홍준표,문재인,49.0 ,13.05628061,421.5541619,92866,33.56,39832
2615,26500,부산 수영구,부산,3,국민의당,안철수,문재인,49.0 ,13.05628061,421.5541619,92866,17.11,20319
